Category,Article_Count,Percentage
POLITICS,35602,16.99160490056174
WELLNESS,17945,8.564528676495154
ENTERTAINMENT,17362,8.286282913419273
TRAVEL,9900,4.724928052231932
STYLE & BEAUTY,9814,4.683883222687291
PARENTING,8791,4.195640657289991
HEALTHY LIVING,6694,3.1948149880445005
QUEER VOICES,6347,3.029203873486472
FOOD & DRINK,6340,3.025863015267722
BUSINESS,5992,2.8597746352498725
COMEDY,5400,2.577233483035599
SPORTS,5077,2.423076739513285
BLACK VOICES,4583,2.1873076023615092
HOME & LIVING,4320,2.0617867864284793
PARENTS,3955,1.8875848935936659
THE WORLDPOST,3664,1.7487006447856364
WEDDINGS,3653,1.7434507247276008
WOMEN,3572,1.7047922224820669
CRIME,3562,1.7000195678838526
IMPACT,3484,1.662792862017783
DIVORCE,3426,1.6351114653481411
WORLD NEWS,3299,1.5744987519508227
MEDIA,2944,1.405069513714223
WEIRD NEWS,2777,1.3253661819240479
GREEN,2622,1.2513900356517298
WORLDPOST,2579,1.2308676208794094
RELIGION,2577,1.2299130899597666
STYLE,2254,1.075756346437452
SCIENCE,2206,1.0528476043660244
TECH,2104,1.0041665274642408
TASTE,2096,1.0003484037856696
MONEY,1756,0.8380781474463911
ARTS,1509,0.7201935788705036
ENVIRONMENT,1444,0.6891713239821121
FIFTY,1401,0.6686489092097916
GOOD NEWS,1398,0.6672171128303274
U.S. NEWS,1377,0.6571945381740778
ARTS & CULTURE,1339,0.6390584507008643
COLLEGE,1144,0.5459916860356899
LATINO VOICES,1130,0.5393099695981902
CULTURE & ARTS,1074,0.5125831038481914
EDUCATION,1014,0.483947176258907
